Species,Lake,Diet,Ecotype,AdultLength_cm,Aggression_1to5,Activity_1to5,DisplayAbility_1to5,MinGroupSize,PreferredPH,PreferredTemp_C,PreferredHardness_Dgh,Rarity_1to5,CareDifficulty_1to5,Price_GBP,RecommendedTank_L,SensitivityWaterParams_1to5,SensitivityStress_1to5
Blue Dolphin Cichlid,Malawi,Omnivore,Hap,22.5,3,3,3,1,8,26,15,3,2,16,250,2,2
Calvus Cichlid,Tanganyika,Carnivore,Hap,11.5,3,1,3,1,8.2,26,15,3,3,23,120,3,4
Electric Yellow Cichlid,Malawi,Omnivore,Hap,10.5,1,4,4,3,8,26,15,1,1,7,120,2,2
Electric Blue Johanni Cichlid,Malawi,Herbivore,Mbuna,10,5,5,4,3,8.2,26,15,2,2,7,180,2,3
Eureka Red Peacock Cichlid,Malawi,Omnivore,Peacock,12.5,2,2,5,1,8,26,13,2,2,13,150,2,2
Frontosa Cichlid,Tanganyika,Omnivore,Hap,30,4,1,3,1,8.3,26,15,3,3,15,400,3,4
Giraffe Cichlid,Malawi,Carnivore,Hap,25,4,4,4,1,8,26,15,3,3,10,300,2,3
Jewel Cichlid,Turkana,Omnivore,Open Water,12,5,1,4,1,7,26,8,2,2,6,100,2,2
Kribensis Cichlid,Victoria,Omnivore,Open Water,9,1,1,1,1,7,26,8,1,1,5,80,2,2
Gold Mbuna Cichlid,Malawi,Herbivore,Mbuna,11,2,3,4,5,8.4,26,15,2,2,7,180,2,3
OB Peacock Cichlid,Malawi,Omnivore,Peacock,12.5,2,3,5,1,8,26,13,2,2,12,150,2,2
Snow White Cichlid,Malawi,Omnivore,Hap,11,3,3,4,5,8,26,15,3,2,6,180,2,2
Sunshine Peacock Cichlid,Malawi,Carnivore,Peacock,10,2,2,5,1,8,26,13,2,2,13,150,2,2
Acei Cichlid,Malawi,Omnivore,Hap,12,2,4,4,5,8.2,26,15,2,2,8,180,2,2
Lwanda Peacock Cichlid,Malawi,Omnivore,Peacock,12,2,2,5,1,8,26,13,2,2,14,150,2,2
Electric Blue Peacock Cichlid,Malawi,Omnivore,Peacock,14,2,2,5,1,8,26,13,3,2,13,150,2,2
Tropheus Moori Cichlid,Tanganyika,Herbivore,Mbuna,12.5,5,5,2,10,8.5,26,15,4,5,12,300,4,5
Strawberry Peacock,Malawi,Omnivore,Peacock,12.5,2,3,4,1,8,26,15,2,2,15,150,2,2
Fosso Cichlid,Malawi,Carnivore,Hap,30,3,4,3,1,8,26,15,4,3,8,250,2,3
Lemon Jake Cichlid,Malawi,Omnivore,Peacock,13,2,2,5,1,8,26,13,2,2,10,150,2,2
Malawi Eyebiter Cichlid,Malawi,Carnivore,Hap,23,5,5,3,1,8,26,15,3,4,12,250,3,3
Ngara Flametail Cichlid,Malawi,Herbivore,Peacock,13,2,2,5,1,8,26,13,3,3,9,150,2,3
Malawi Hawk Cichlid,Malawi,Carnivore,Hap,30,4,3,3,1,8,26,15,4,4,20,250,3,3
Dragons Blood Peacock Cichlid,Tanganyika,Carnivore,Peacock,12,2,2,5,1,8,26,13,2,2,16,150,3,3
Dubois Tropheus Cichlid,Malawi,Omnivore,Mbuna,11,5,5,2,10,8.5,26,15,4,4,8,300,3,4
Burtons Cichlid,Victoria,Omnivore,Hap,15,3,3,2,1,7.5,26,10,4,3,20,120,2,3
Sauvegei Cichlid,Victoria,Omnivore,Mbuna,10,4,3,3,1,8,26,13,4,3,20,150,2,4
Nyererei Cichlid,Victoria,Omnivore,Mbuna,10,4,4,4,1,8,26,13,3,3,10,150,2,4
Auloncara Firefish Cichlid,Victoria,Omnivore,Mbuna,8,1,2,5,1,8,26,13,2,2,13,150,2,3
Pseudotropheus demasoni,Malawi,Herbivore,Mbuna,7.5,5,5,5,7,8,26,10,3,4,14,120,3,4
Metriaclima estherae,Malawi,Omnivore,Mbuna,12,4,4,4,8,8,25,10,2,3,12,120,2,4
Melanochromis auratus,Malawi,Omnivore,Mbuna,11,4,4,4,6,8,25,10,2,3,11,100,2,4
Pseudotropheus crabro,Malawi,Herbivore,Mbuna,15,4,3,4,6,8,25,10,3,4,15,150,3,4
Metriaclima lombardoi,Malawi,Omnivore,Mbuna,13,5,4,4,6,8,25,10,3,4,16,150,3,4
Labidochromis flavigulis,Malawi,Herbivore,Mbuna,9,3,4,4,6,8,25,10,2,3,13,120,2,4
Maylandia greshakei,Malawi,Omnivore,Mbuna,12,4,4,4,8,8,25,10,3,4,14,120,3,4
Cynotilapia afra,Malawi,Herbivore,Mbuna,10,5,4,4,8,8,25,10,3,4,14,120,3,4
Labeotropheus fuelleborni,Malawi,Herbivore,Mbuna,13,4,3,3,6,8,25,10,3,4,15,150,3,4
Labeotropheus trewavasae,Malawi,Herbivore,Mbuna,12,4,3,3,6,8,25,10,3,4,15,150,3,4
Tropheops chilumba,Malawi,Omnivore,Mbuna,12,4,3,3,6,8,25,10,3,4,14,120,3,4
Tropheops red cheek,Malawi,Omnivore,Mbuna,11,4,3,3,6,8,25,10,3,4,13,120,3,4
Chindongo socolofi,Malawi,Omnivore,Mbuna,10,4,3,4,6,8,25,10,3,4,13,120,3,4
Metriaclima callainos,Malawi,Omnivore,Mbuna,11,4,4,4,6,8,25,10,3,4,14,120,3,4
Melanochromis cyaneorhabdos,Malawi,Omnivore,Mbuna,8.5,5,4,5,6,8,25,10,4,4,15,120,3,4
Pseudotropheus elongatus,Malawi,Omnivore,Mbuna,10,4,3,3,6,8,25,10,3,4,13,120,3,4
Tropheops gracilior,Malawi,Omnivore,Mbuna,11,4,3,3,6,8,25,10,3,4,13,120,3,4
Pseudotropheus saulosi,Malawi,Omnivore,Mbuna,8.5,4,4,5,6,8,25,10,4,4,16,120,3,4
Pseudotropheus acei (Ngara variant),Malawi,Herbivore,Mbuna,12.5,3,3,4,6,8,25,10,3,3,14,120,2,4
Aulonocara baenschi,Malawi,Carnivore,Peacock,11,2,3,5,4,8,25,10,3,3,20,150,2,3
Aulonocara jacobfreibergi,Malawi,Carnivore,Peacock,15,2,3,5,4,8,25,10,3,3,20,150,2,3
Aulonocara stuartgranti,Malawi,Carnivore,Peacock,13,2,3,5,4,8,25,10,3,3,18,150,2,3
Aulonocara rubescens,Malawi,Carnivore,Peacock,12,2,3,5,4,8,25,10,3,3,18,150,2,3
"Aulonocara sp. ""German Red""",Malawi,Carnivore,Peacock,13,2,3,5,4,8,25,10,4,3,22,150,2,3
"Aulonocara sp. ""Blue Neon""",Malawi,Carnivore,Peacock,12,2,3,5,4,8,25,10,3,3,20,150,2,3
"Aulonocara sp. ""Turkis""",Malawi,Carnivore,Peacock,13,2,3,5,4,8,25,10,4,3,22,150,2,3
Aulonocara hueseri,Malawi,Carnivore,Peacock,12,2,3,5,4,8,25,10,3,3,20,150,2,3
Aulonocara kandeensis,Malawi,Carnivore,Peacock,13,2,3,5,4,8,25,10,4,3,22,150,2,3
Aulonocara ethelwynnae,Malawi,Carnivore,Peacock,11,2,3,5,4,8,25,10,4,3,20,150,2,3
Aulonocara koningsi,Malawi,Carnivore,Peacock,13,2,3,5,4,8,25,10,4,3,22,150,2,3
